,Date,Id,Tweet
0,2021-06-13 20:18:39,1404171376911523840,"RT @DocumentingBTC: Venezuela 🇻🇪 has the 3rd highest level of #Bitcoin adoption in the world, as people  increasingly use it to mitigate ec…"
1,2021-06-13 01:52:33,1403893020756426753,🌍#Bitcoin https://t.co/5RgLqdfk7k
2,2021-06-13 01:34:22,1403888443218960384,"RT @michael_saylor: On Wednesday, you are all invited to meet with members of the Bitcoin Mining Council to discuss the latest on #Bitcoin…"
3,2021-06-13 01:31:18,1403887669768339459,The people of Nigeria will lead #bitcoin 🇳🇬 https://t.co/A8Ev3tMkJS
4,2021-06-12 20:33:31,1403812730881052680,🇳🇬🤝#bitcoin
5,2021-06-12 13:05:33,1403699998060077059,"RT @builtwithbtc: We're Built With Bitcoin 👋

A foundation creating equitable opportunity by providing clean water, quality education, sust…"
6,2021-06-12 12:44:39,1403694738511958021,RT @bitentrepreneur: TAPROOT has locked-in. Excellent work miners! Congratulations bitcoiners! 🟩                                 #Bitcoin p…
7,2021-06-11 19:55:35,1403440797610020873,"""…useless complicated math problems…""

@SenWarren if you believe #bitcoin doesn't ultimately shift power from banks… https://t.co/vytl8LhVUR"
8,2021-06-11 04:20:31,1403205482236493826,RT @TechCortes: Seguiremos hablando un solo lenguaje por Latinamerica #Bitcoin
9,2021-06-11 04:08:15,1403202392255086592,RT @camilacampton: #Bitcoin is for everyone 🧡
10,2021-06-11 03:53:00,1403198554303254532,RT @criptobastardo: Todos hablamos un lenguaje y es #bitcoin
11,2021-06-11 03:39:46,1403195224768319491,"de nuevo #bitcoin 
 https://t.co/NDoRpMSwcj"
12,2021-06-11 02:52:42,1403183382650142722,"“We all speak one language, and it is #bitcoin”—@camilacampton"
13,2021-06-11 01:58:48,1403169815620206592,"RT @nayibbukele: Soon, that well is going to look like this...

And half a mile from it, the #bitcoin mining facility.

Designing that as w…"
14,2021-06-09 23:45:48,1402773957653241861,#bitcoin  incentivizes renewable energy https://t.co/UEMcyWPfhG
15,2021-06-09 18:17:43,1402691392724480004,"RT @DocumentingBTC: El Salvador 🇸🇻 may soon be mining #Bitcoin using volcanoes. 🌋

If all 644 MW of the wasted geothermal energy was used,…"
16,2021-06-09 17:47:37,1402683819380072450,"RT @milessuter: Lots of bitcoiners are asking how they can support El Salvador 🇸🇻

Making a contribution in bitcoin to the cause below is a…"
