,Date,Id,Tweet
0,2021-06-14 01:00:41,1404242356002504708,@noahkalina Facts
1,2021-06-14 00:51:00,1404239915597053955,"RT @criptobastardo: Hoy vamos a tener a @beachainbtc, @bitentrepreneur, @theotoukou, @guzmanpintos y otros mineros para hablar sobre #Bitco…"
2,2021-06-14 00:49:50,1404239623983882244,@nic__carter Si
3,2021-06-13 22:25:29,1404203298148737026,🇳🇬🇳🇬🇳🇬
4,2021-06-13 20:19:10,1404171507912175618,🇸🇻 https://t.co/NnqhNpFqQm
5,2021-06-13 20:18:39,1404171376911523840,"RT @DocumentingBTC: Venezuela 🇻🇪 has the 3rd highest level of #Bitcoin adoption in the world, as people  increasingly use it to mitigate ec…"
6,2021-06-13 19:13:07,1404154884312666125,@nic__carter Never actually saw that tweet
7,2021-06-13 01:52:33,1403893020756426753,🌍#Bitcoin https://t.co/5RgLqdfk7k
8,2021-06-13 01:40:56,1403890097376972801,"RT @RussellOkung: Mr. @MBuhari, I hope you will consider decisive action for the Nigerian people. 

I’d love to offer my full support. 

ht…"
9,2021-06-13 01:34:22,1403888443218960384,"RT @michael_saylor: On Wednesday, you are all invited to meet with members of the Bitcoin Mining Council to discuss the latest on #Bitcoin…"
10,2021-06-13 01:31:18,1403887669768339459,The people of Nigeria will lead #bitcoin 🇳🇬 https://t.co/A8Ev3tMkJS
11,2021-06-13 01:20:53,1403885048772898816,"RT @MuunWallet: Taproot is now guaranteed to lock in! 🔥

Core devs have done their part and made one of the coolest upgrades ever to the Bi…"
12,2021-06-12 20:33:31,1403812730881052680,🇳🇬🤝#bitcoin
13,2021-06-12 13:05:33,1403699998060077059,"RT @builtwithbtc: We're Built With Bitcoin 👋

A foundation creating equitable opportunity by providing clean water, quality education, sust…"
14,2021-06-12 12:44:39,1403694738511958021,RT @bitentrepreneur: TAPROOT has locked-in. Excellent work miners! Congratulations bitcoiners! 🟩                                 #Bitcoin p…
15,2021-06-12 12:09:50,1403685976162148358,💯 🇳🇬 https://t.co/kz09PIQA8u
16,2021-06-11 23:00:01,1403487211857797121,🇳🇬
17,2021-06-11 19:55:35,1403440797610020873,"""…useless complicated math problems…""

@SenWarren if you believe #bitcoin doesn't ultimately shift power from banks… https://t.co/vytl8LhVUR"
18,2021-06-11 19:47:19,1403438718929752069,@jackmallers @gladstein @deyonte_btc @sphinx_chat @MartyBent @ODELL @Twitter @ln_strike def. cc @kayvz @paraga
19,2021-06-11 04:20:58,1403205595092619264,RT @noestoymolesto: Estamos en la era en la que un billonario al otro lado del mundo puede entrar al Live que estás haciendo humildemente e…
20,2021-06-11 04:20:31,1403205482236493826,RT @TechCortes: Seguiremos hablando un solo lenguaje por Latinamerica #Bitcoin
21,2021-06-11 04:08:15,1403202392255086592,RT @camilacampton: #Bitcoin is for everyone 🧡
22,2021-06-11 03:53:00,1403198554303254532,RT @criptobastardo: Todos hablamos un lenguaje y es #bitcoin
23,2021-06-11 03:39:46,1403195224768319491,"de nuevo #bitcoin 
 https://t.co/NDoRpMSwcj"
24,2021-06-11 02:56:05,1403184231044501505,RT @cryptograffiti: The IMF &amp; World Bank are directly responsible for many of the current hardships faced by LATAM countries.  This animati…
25,2021-06-11 02:52:42,1403183382650142722,"“We all speak one language, and it is #bitcoin”—@camilacampton"
26,2021-06-11 02:43:39,1403181104358625281,https://t.co/OXOAnRBhPK
27,2021-06-11 02:18:55,1403174877444587523,@deyonte_btc @sphinx_chat @MartyBent @ODELL Only a matter of time
28,2021-06-11 02:08:40,1403172297586925572,btw @sphinx_chat is so great https://t.co/72W8KoTwLq https://t.co/h2rL9TmDx2
29,2021-06-11 01:58:48,1403169815620206592,"RT @nayibbukele: Soon, that well is going to look like this...

And half a mile from it, the #bitcoin mining facility.

Designing that as w…"
30,2021-06-11 00:26:48,1403146661799641093,"RT @allenf32: just btw, how in the actual f*** does this have fewer than 500 likes?

I'm not joking, this might be the most important tweet…"
31,2021-06-10 18:34:06,1403057902810808321,"@freialobo Was great, ty"
32,2021-06-10 18:27:18,1403056194625941504,"RT @revue: ✨Coming soon✨

We’re currently building new ways to grow your newsletter audience, and we want to preview one that will live rig…"
33,2021-06-10 17:31:56,1403042259734568963,"RT @LibertyBlitz: All these people who have a huge problem with a currency backed by energy, yet have no problem at all with a currency bac…"
34,2021-06-10 17:30:29,1403041895845142530,💯 https://t.co/r9puSjCTJZ
35,2021-06-10 17:30:08,1403041805294317573,"RT @TwitterSpaces: starting today #hashtags + @mentions in titles will be clickable. 

by adding a unique hashtag, amazing conversations ca…"
36,2021-06-09 23:45:48,1402773957653241861,#bitcoin  incentivizes renewable energy https://t.co/UEMcyWPfhG
37,2021-06-09 21:33:26,1402740644930633735,🌑 https://t.co/X2QZKsj0Di
38,2021-06-09 21:32:48,1402740488965398529,"RT @malemayehou: Thrilled to join the board of Twitter, particularly at a time when Twitter is working to expand its reach and impact aroun…"
39,2021-06-09 20:09:03,1402719410637389826,https://t.co/3M9T0A4hWw
40,2021-06-09 18:17:43,1402691392724480004,"RT @DocumentingBTC: El Salvador 🇸🇻 may soon be mining #Bitcoin using volcanoes. 🌋

If all 644 MW of the wasted geothermal energy was used,…"
41,2021-06-09 18:02:33,1402687575748403206,"RT @TheBlueMatt: Later today: join @rusty_twit, @ajtowns, and I to hear us discuss soft fork activation methods and what the future holds.…"
42,2021-06-09 17:47:54,1402683891308281861,"RT @nayibbukele: I’ve just instructed the president of @LaGeoSV (our state-owned geothermal electric company), to put up a plan to offer fa…"
43,2021-06-09 17:47:37,1402683819380072450,"RT @milessuter: Lots of bitcoiners are asking how they can support El Salvador 🇸🇻

Making a contribution in bitcoin to the cause below is a…"
44,2021-06-09 16:03:41,1402657664111362049,"RT @AmritaAhuja: We’re sharing our framework for defining goals, establishing investment parameters, sourcing opportunities, and tracking r…"
45,2021-06-09 15:29:05,1402648955700355081,RT @CaitlinLong_: WHAT I FIND MOST SIGNIFICANT about #ElSalvador's move=it has nothing to do with speculating on #bitcoin's price (how refr…
46,2021-06-09 15:28:14,1402648741090373634,RT @DocumentingBTC: Wikipedia now lists #Bitcoin as El Salvador's currency. https://t.co/JfbdoeBumB
47,2021-06-09 05:11:03,1402493423362490369,https://t.co/wghLN9kGfv
48,2021-06-07 02:19:04,1401725366046167043,RT @DaveGrutman: TMT Pregame ⁦@FloydMayweather⁩ ⁦@jack⁩ ⁦@TanzWatson⁩ https://t.co/9ROAsYc4cW
49,2021-06-05 23:08:55,1401315123457937417,"RT @BTCTN: “Next week, I will send to congress a bill that will make #bitcoin legal tender in El Salvador. In the short term this will gene…"
50,2021-06-05 21:00:40,1401282847709749248,"RT @gladstein: Historic moment.

El Salvador on track to become the first country to accept Bitcoin as legal tender and to hold Bitcoin as…"
51,2021-06-05 19:11:59,1401255500218515460,"RT @adam3us: cypherpunks write code. and build things: ""demonstrate that a renewable mining facility in the real world is not only possible…"
52,2021-06-05 18:00:58,1401237627676905477,"RT @Square: We’re committed to driving further adoption and efficiency of renewables within the bitcoin ecosystem, which is why we’ve teame…"
53,2021-06-04 17:24:02,1400865943333576705,@MrHodl I get it and appreciate it
54,2021-06-04 17:22:26,1400865539162095623,@DrJackKruse Knew I was missing something
55,2021-06-04 15:42:43,1400840446285389828,5/Mobile devices are a huge liability. An always-in-your-pocket device will never be safe enough to be solely respo… https://t.co/1YhbZCUNR4
56,2021-06-04 15:37:44,1400839191320313860,"With that, @jessedorogusker, I, and team will listen and continue the conversation. And we’ll set up a dedicated Tw… https://t.co/04ChraKQG2"
57,2021-06-04 15:37:44,1400839190489751554,12/Cash App integration is obvious for us but only part of the solution. A smooth experience likely depends on a cu… https://t.co/GTfFDHcx9X
58,2021-06-04 15:37:43,1400839189583876105,"11/Layer 2 is essential for growth. The orders-of-magnitude growth we imagine requires a mix of custodial, off-chai… https://t.co/1CA5Y0yDUj"
59,2021-06-04 15:37:43,1400839188694679571,"10/Trust can’t be required. Today, customers depend heavily on the continued function of infrastructure provided by… https://t.co/fqXRiGSJZL"
60,2021-06-04 15:37:43,1400839187868401664,9/Are small displays necessary? Expecting mainstream customers to validate details on a small display is *unlikely*… https://t.co/Md44QzkbVQ
61,2021-06-04 15:37:43,1400839187092361220,"8/Today’s recovery mechanisms burn money. Customers have to protect recovery information from damage, loss, and the… https://t.co/1dgDryeKyM"
62,2021-06-04 15:37:42,1400839186199027716,"7/Safety is complicated. For any wallet product, we consider safety failures to stem from one of three types of eve… https://t.co/UPOUKjuZMI"
63,2021-06-04 15:37:42,1400839185343320068,6/Blend availability and security. Make it easy for customers to keep the funds they want quick access to at their… https://t.co/OEbM2jx38n
64,2021-06-04 15:37:42,1400839183816605698,4/Most people access the internet on mobile. Any solution we build must provide an excellent experience when using… https://t.co/HrUSLCnL1N
65,2021-06-04 15:37:42,1400839182994620427,4/Most people access the internet on mobile. Any solution we build must provide an excellent experience when using… https://t.co/prqizh2vr1
66,2021-06-04 15:37:42,1400839182168297474,3/Custody doesn’t have to be all-or-nothing. We can probably simplify custody through “assisted self-custody.” Assi… https://t.co/6V2tk7yuse
67,2021-06-04 15:37:41,1400839181329383424,"2/“No keys, no cheese.” The exchange you used to buy your bitcoin probably attends to your security with good inten… https://t.co/h2msqymvst"
68,2021-06-04 15:37:41,1400839180503158784,1/Bitcoin is for everyone. It’s important to us to build an inclusive product that brings a non-custodial solution… https://t.co/mBZqOV4ypg
69,2021-06-04 15:37:41,1400839179513339905,"Square is considering making a hardware wallet for #bitcoin. If we do it, we would build it entirely in the open, f… https://t.co/Fm34vUjrwS"
70,2021-06-02 21:07:26,1400197388921417733,RT @iamb: join me and the team on friday when i’ll be hosting a @twitterspaces convo about verification and we’ll be answering all of your…
71,2021-06-02 16:52:39,1400133271099412483,RT @moneyball: The full power of bitcoin is only realized when users take charge of their coins. But designing self-custody bitcoin applica…
72,2021-05-27 19:12:43,1397994190697545733,@AndrewRangeley Nothing. I do Goldman conf for Twitter. JPM for Sq.
73,2021-05-27 16:14:08,1397949250777067523,"RT @RocNation: See you in Philly!
@MIAFestival 2021 tickets are on sale now!
Get 2-day passes and lock in “Early Bird” pricing while it’s a…"
74,2021-05-27 13:00:38,1397900554005778434,"RT @gladstein: 1/ My latest essay is live:

""The Humanitarian and Environmental Case for Bitcoin""

Could Bitcoin reduce ""middleman"" corrupt…"
75,2021-05-27 00:49:16,1397716497779154947,"RT @tjma2001: Bitcoin is African. This shit was made for us. 

The price could stay at $40k for the next ten years IDGAF. People sleeping o…"
76,2021-05-26 23:23:26,1397694900213325826,"RT @TwitterSpaces: starting today, spaces will be available on https://t.co/RD57W4QZPz (mobile web, desktop web)

our focus areas:
- infras…"
77,2021-05-26 04:11:05,1397404899860692996,"RT @DocumentingBTC: Africa is leading the world in peer-to-peer #bitcoin trading volume growth, with 22% in the last three months. 

Number…"
78,2021-05-25 16:20:27,1397226062183022595,RT @sqcrypto: New grant. Dhruv Mehta (@dhruv) is a Core contributor whose thesis is that despite bitcoin’s sybil resistance and proof-of-wo…
79,2021-05-24 16:02:02,1396859040492310530,"RT @sqcrypto: Please welcome Conor Okus (@conorokus) to Square Crypto. A footballer turned bitcoiner, Conor is a Bitcoin Design Guide PM, a…"
80,2021-05-21 23:39:21,1395886966210707458,@michael_saylor @Square 🙏🏼
81,2021-05-21 08:56:03,1395664673995771906,"RT @milessuter: Calling all #Bitcoin Operators: hugely impactful work to be done here, alongside the incredible @laurenceaderemi and @jayhi…"
82,2021-05-20 19:04:17,1395455356382351362,"@HassanAesthetic less security, more centralization"
83,2021-05-20 18:57:03,1395453535827988492,💯 https://t.co/KCmezsov2z
84,2021-05-20 18:28:50,1395446434544168962,"RT @TwitterSpaces: good news: hosts can now schedule a Space for later. don’t worry about setting an alarm, hosts will receive two notifs:…"
85,2021-05-20 15:43:20,1395404782773354500,"RT @verified: Dear “can you verify me” ––

Save your Tweets and DMs, there’s a new official way to apply for a blue badge, rolling out over…"
86,2021-05-20 03:17:43,1395217144875560964,https://t.co/tWzPeKGqk7
87,2021-05-19 17:15:47,1395065660062015489,"RT @RajarshiMaitra: Officially quit my fiat job today to work full time #Bitcoin. 

Bitcoin has changed me more than I can ever change Bitc…"
88,2021-05-18 16:10:17,1394686792385794049,RT @squareireland: Square was started to give people an easier way to take card payments. We’ve built a lot more tools since then. From sma…
89,2021-05-14 22:44:56,1393336554366586890,"@LabarberaChris @gladstein @knutsvanholm worth considering, but I believe the overwhelming mass of interest makes it resilient to even this."
90,2021-05-14 22:44:07,1393336348216631300,@l_ToxjQ_l @gladstein @knutsvanholm extremely unlikely. the conditions needed to create and sustain bitcoin were very special.
91,2021-05-14 21:37:07,1393319489073303553,"RT @jack: @gladstein @knutsvanholm Yes, and I agree: no single person (or institution) will be able to change it, or stop it."
92,2021-05-14 21:22:43,1393315865119141891,"@gladstein @knutsvanholm Yes, and I agree: no single person (or institution) will be able to change it, or stop it."
93,2021-05-14 20:59:38,1393310054355451904,"#bitcoin changes *everything*…for the better.

And we will forever work to make bitcoin better. https://t.co/wssrF2U0P0"
94,2021-05-14 18:00:28,1393264967017717763,Thank you @jacindaardern &amp; @EmmanuelMacron for your leadership on the second anniversary of the #ChristchurchCall.… https://t.co/Z3RKEkaYWZ
95,2021-05-14 13:57:43,1393203876942204928,"RT @MaxTheComrade: $SQ announces three powerful New Developer Tools at Unboxed 2021 conference. 

Developers can now build on top of @Squar…"
96,2021-05-12 12:32:05,1392457552005406730,RT @TIDAL: Hall of Fame Hov https://t.co/Np6t4JsLHp
97,2021-05-10 21:08:02,1391862618902700032,"RT @SquareDev: If you index by 0 (the correct way 🤓) Square Unboxed is 3 days away 🥳! This Thursday, May 13 at 9 a.m. PT, tune in for demos…"
98,2021-05-10 18:11:35,1391818212648570887,"$15 million split between @CARE, @AIDINDIA, and @sewausa to help address the COVID-19 crisis in India. All tracked… https://t.co/Q0ovwMlgMd"
99,2021-05-09 18:41:50,1391463437277007872,"RT @seyitaylor: Create Afrofuturist Art.
Win Bitcoin.  https://t.co/mzOwvaROG5"
100,2021-05-07 13:46:08,1390664247785496580,"RT @NBCNewsTHINK: Bitcoin gets Wall Street's attention. But its power lies in aiding oppressed peoples, writes @aubreystrobel.

By holding…"
101,2021-05-06 20:36:47,1390405203510312970,RT @mayagpatterson: get y’all coins! Tip Jar is being tested with a small group on spaces. Shoutout to @ogbabygouda who designed it https:/…
102,2021-05-06 20:03:34,1390396844824485896,💯 https://t.co/hjNbiOdLzc
103,2021-05-05 19:38:13,1390028077930065920,"RT @Twitter: no bird too tall, no crop too short

introducing bigger and better images on iOS and Android, now available to everyone https:…"
104,2021-05-05 15:49:53,1389970612525879297,🏄🏽‍♀️ https://t.co/R5hD3NwvO2
105,2021-05-04 16:39:25,1389620690853244928,RT @arctictony: I’m so excited to say that Twitter is acquiring @tryscroll! We’ll be going into private beta as we integrate into a broader…
106,2021-05-03 17:52:26,1389276680808697856,"RT @TwitterSpaces: now, everyone with 600 or more followers can host a Space.

based on what we've learned, these accounts are likely to ha…"
